iter	Passed	Remaining
0	5	5391
1	10	5431
2	16	5469
3	21	5394
4	27	5444
5	32	5393
6	38	5398
7	43	5378
8	48	5332
9	53	5333
10	59	5328
11	64	5329
12	71	5398
13	77	5448
14	83	5504
15	89	5510
16	95	5516
17	100	5504
18	106	5499
19	111	5486
20	117	5471
21	123	5469
22	128	5455
23	133	5435
24	139	5421
25	144	5419
26	151	5461
27	158	5513
28	164	5497
29	169	5491
30	175	5478
31	180	5457
32	185	5450
33	191	5444
34	196	5428
35	202	5414
36	207	5412
37	213	5409
38	219	5405
39	224	5389
40	229	5373
41	235	5361
42	240	5352
43	245	5332
44	251	5327
45	256	5314
46	261	5304
47	266	5294
48	272	5287
49	277	5279
50	283	5266
51	288	5256
52	293	5250
53	299	5241
54	304	5226
55	309	5216
56	314	5210
57	320	5200
58	325	5193
59	331	5190
60	337	5189
61	342	5183
62	349	5199
63	358	5235
64	364	5244
65	369	5235
66	375	5233
67	381	5234
68	387	5228
69	393	5226
70	399	5226
71	405	5225
72	410	5217
73	416	5213
74	422	5210
75	427	5199
76	433	5195
77	438	5188
78	444	5183
79	450	5178
80	456	5177
81	462	5178
82	468	5177
83	474	5174
84	481	5184
85	488	5187
86	494	5184
87	500	5187
88	506	5179
89	511	5170
90	517	5170
91	524	5179
92	530	5172
93	536	5173
94	542	5171
95	548	5169
96	555	5172
97	561	5169
98	566	5159
99	572	5153
100	577	5144
101	583	5137
102	589	5131
103	594	5121
104	600	5115
105	605	5107
106	611	5105
107	617	5098
108	623	5093
109	629	5089
110	634	5083
111	640	5077
112	645	5069
113	651	5060
114	656	5051
115	662	5046
116	667	5035
117	672	5028
118	678	5022
119	683	5015
120	689	5008
121	695	5002
122	700	4995
123	705	4986
124	711	4978
125	717	4975
126	722	4966
127	727	4958
128	733	4951
129	738	4942
130	744	4936
131	750	4933
132	755	4923
133	760	4917
134	766	4909
135	771	4904
136	777	4897
137	782	4890
138	788	4881
139	793	4875
140	798	4866
141	804	4858
142	809	4852
143	815	4846
144	821	4843
145	827	4839
146	832	4830
147	837	4823
148	843	4816
149	848	4809
150	854	4802
151	859	4796
152	865	4790
153	870	4784
154	875	4775
155	881	4767
156	886	4761
157	892	4754
158	897	4748
159	903	4741
160	908	4733
161	913	4727
162	919	4722
163	924	4714
164	930	4707
165	935	4702
166	941	4695
167	947	4690
168	952	4682
169	958	4681
170	963	4672
171	968	4664
172	974	4657
173	979	4650
174	985	4643
175	990	4637
176	995	4629
177	1001	4624
178	1006	4617
179	1012	4612
180	1018	4606
181	1023	4599
182	1028	4593
183	1034	4587
184	1039	4580
185	1045	4574
186	1050	4568
187	1055	4560
188	1063	4561
189	1069	4560
190	1075	4557
191	1081	4553
192	1087	4546
193	1092	4539
194	1098	4536
195	1104	4532
196	1110	4526
197	1115	4520
198	1121	4514
199	1127	4508
200	1132	4500
201	1137	4493
202	1144	4492
203	1151	4491
204	1167	4528
205	1185	4569
206	1197	4588
207	1210	4610
208	1217	4606
209	1223	4601
210	1229	4596
211	1234	4590
212	1240	4584
213	1246	4579
214	1253	4575
215	1258	4568
216	1264	4562
217	1270	4555
218	1275	4548
219	1280	4540
220	1285	4532
221	1291	4526
222	1296	4518
223	1302	4511
224	1307	4505
225	1312	4496
226	1318	4490
227	1324	4485
228	1329	4477
229	1335	4471
230	1342	4470
231	1351	4472
232	1358	4470
233	1363	4464
234	1369	4457
235	1374	4451
236	1380	4444
