,pearson_rank,spearman_rank,mutual_info_rank,random_forest_rank,lightgbm_rank,catboost_rank,avg_rank
geo_frequency,4.0,1.0,2.0,3.0,3.0,3.0,2.6666666666666665
road_type_encoded,1.0,2.0,1.0,2.0,9.0,2.0,2.8333333333333335
road_capacity_score,2.0,4.0,4.0,1.0,13.0,1.0,4.166666666666667
latitude,15.0,8.0,11.0,5.0,1.0,4.0,7.333333333333333
hour_sin,10.0,5.0,20.0,7.0,6.0,8.0,9.333333333333334
hour,16.0,9.0,18.0,8.0,4.0,11.0,11.0
landmark_density_score,9.0,3.0,5.0,21.0,16.0,13.0,11.166666666666666
weather_x_capacity,3.0,13.0,8.0,18.0,12.0,18.0,12.0
region_cluster_5,18.0,11.0,19.0,4.0,15.0,7.0,12.333333333333334
longitude,29.0,23.0,10.0,6.0,2.0,5.0,12.5
region_cluster_15,25.0,14.0,9.0,9.0,8.0,10.0,12.5
hour_cos,13.0,15.0,22.0,10.0,7.0,9.0,12.666666666666666
lanes_x_temperature,8.0,30.0,15.0,12.0,5.0,19.0,14.833333333333334
region_cluster_10,26.0,22.0,16.0,11.0,10.5,6.0,15.25
NumberofLanes,6.0,26.0,6.0,25.0,17.0,12.0,15.333333333333334
roadtype_x_weather,5.0,7.0,7.0,30.0,21.5,25.0,15.916666666666666
landmark_lane_interaction,24.0,21.0,3.0,24.0,21.5,20.0,18.916666666666668
is_evening_peak,12.0,6.0,21.0,32.0,23.0,21.0,19.166666666666668
large_vehicles_allowed,7.0,10.0,12.0,33.0,27.0,29.0,19.666666666666668
lanes_x_weather_severity,11.0,33.0,13.0,16.0,25.5,26.0,20.75
weekday,20.0,18.0,33.5,17.0,18.0,23.0,21.583333333333332
is_weekend,22.0,18.0,29.0,15.0,32.5,15.0,21.916666666666668
is_morning_peak,17.0,12.0,25.0,23.0,25.5,32.0,22.416666666666668
adverse_weather_x_lanes,14.0,32.0,14.0,26.0,19.5,30.0,22.583333333333332
weekday_sin,19.0,18.0,33.5,19.0,32.5,16.0,23.0
Temperature,30.0,28.0,33.5,13.0,10.5,24.0,23.166666666666668
week,23.0,18.0,33.5,22.0,32.5,14.0,23.833333333333332
weekday_cos,21.0,18.0,30.0,20.0,32.5,22.0,23.916666666666668
minute,33.0,34.0,33.5,14.0,14.0,17.0,24.25
has_landmarks,27.0,25.0,17.0,28.0,19.5,31.0,24.583333333333332
is_peak_hour,28.0,24.0,26.0,29.0,24.0,27.0,26.333333333333332
temperature_bin,31.0,29.0,33.5,27.0,28.0,28.0,29.416666666666668
weather_severity_score,32.0,31.0,23.0,31.0,32.5,34.5,30.666666666666668
adverse_weather,34.0,27.0,24.0,34.0,32.5,34.5,31.0
quarter,,,27.0,35.5,32.5,34.5,32.375
month,,,28.0,35.5,32.5,34.5,32.625
